GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hilla PetClinic,org.springframework.samples.petclinic,PetClinicApplication,5,7,0,0,2,2,1,2,1,2
Hilla PetClinic,org.springframework.samples.petclinic.model,BaseEntity,1,16,1,1,0,5,1,4,0,4
Hilla PetClinic,org.springframework.samples.petclinic.model,NamedEntity,3,10,0,0,1,4,1,3,1,3
Hilla PetClinic,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
Hilla PetClinic,org.springframework.samples.petclinic.vet,Vet,15,30,1,1,5,7,3,4,2,4
Hilla PetClinic,org.springframework.samples.petclinic.vet,Specialty,0,3,0,0,0,1,0,1,0,1
Hilla PetClinic,org.springframework.samples.petclinic.vet,VetEndpoint,4,6,0,0,1,3,1,1,1,1
Hilla PetClinic,org.springframework.samples.petclinic.vet,Vets,14,0,2,0,4,0,3,0,2,0
Hilla PetClinic,org.springframework.samples.petclinic.visit,Visit,7,20,0,0,3,9,2,5,2,5
Hilla PetClinic,org.springframework.samples.petclinic.visit,VisitEndpoint,14,6,0,0,3,3,2,1,2,1
Hilla PetClinic,org.springframework.samples.petclinic.owner,Owner,91,50,10,2,20,16,13,7,7,7
Hilla PetClinic,org.springframework.samples.petclinic.owner,PetEndpoint,57,12,2,0,11,5,6,1,5,1
Hilla PetClinic,org.springframework.samples.petclinic.owner,OwnerEndpoint,16,6,0,0,3,3,3,1,3,1
Hilla PetClinic,org.springframework.samples.petclinic.owner,PetType,0,3,0,0,0,1,0,1,0,1
Hilla PetClinic,org.springframework.samples.petclinic.owner,PetTypeFormatter,0,38,0,4,0,10,0,5,0,3
Hilla PetClinic,org.springframework.samples.petclinic.owner,Pet,15,59,1,1,4,18,3,9,2,9
Hilla PetClinic,org.springframework.samples.petclinic.owner,PetValidator,41,0,8,0,11,0,7,0,3,0
Hilla PetClinic,org.springframework.samples.petclinic.system,CacheConfiguration,0,19,0,0,0,5,0,4,0,4
Hilla PetClinic,org.springframework.samples.petclinic.system,CrashEndpoint,5,3,0,0,1,1,1,1,1,1
Hilla PetClinic,org.springframework.samples.petclinic.dto,PetDTO,59,0,0,0,25,0,17,0,17,0
